2026-07-01T12:57:15Z POLL-EXIT start driver=16946 interval=75s branch=47ff71e3 ledger=0/22 (0 fail)
2026-07-01T12:57:15Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T12:58:30Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T12:59:46Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:01:01Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:02:17Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:03:33Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:04:48Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:06:03Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:07:19Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:08:34Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
2026-07-01T13:09:49Z DRIVER=16946 RUNNING === Row 16: ship-readiness (/silver:ship-readiness) === child=17210
